2025-06-11 19:02:27,182 - neuroevo_rank_0 - INFO - Generation 26: Best=255.000, Time=9.76s
2025-06-11 19:02:35,850 - neuroevo_rank_0 - INFO - Generation 27: Best=255.111, Time=8.67s
2025-06-11 19:02:44,923 - neuroevo_rank_0 - INFO - Generation 28: Best=255.056, Time=9.07s
2025-06-11 19:02:53,625 - neuroevo_rank_0 - INFO - Generation 29: Best=255.056, Time=8.70s
2025-06-11 19:40:12,268 - neuroevo_rank_0 - INFO - Starting WANN experiment on rank 0
2025-06-11 19:40:12,373 - neuroevo_rank_0 - INFO - Generation 0: Best=9.778, Time=0.10s
2025-06-11 19:40:12,495 - neuroevo_rank_0 - INFO - Generation 1: Best=22.556, Time=0.12s
2025-06-11 19:40:12,606 - neuroevo_rank_0 - INFO - Generation 2: Best=24.444, Time=0.11s
2025-06-11 19:40:12,795 - neuroevo_rank_0 - INFO - Generation 3: Best=29.000, Time=0.19s
2025-06-11 19:40:13,081 - neuroevo_rank_0 - INFO - Generation 4: Best=28.056, Time=0.28s
2025-06-11 19:40:13,308 - neuroevo_rank_0 - INFO - Generation 5: Best=28.444, Time=0.23s
2025-06-11 19:40:13,541 - neuroevo_rank_0 - INFO - Generation 6: Best=45.667, Time=0.23s
2025-06-11 19:40:13,783 - neuroevo_rank_0 - INFO - Generation 7: Best=42.111, Time=0.24s
2025-06-11 19:40:14,098 - neuroevo_rank_0 - INFO - Generation 8: Best=49.222, Time=0.31s
2025-06-11 19:40:14,467 - neuroevo_rank_0 - INFO - Generation 9: Best=52.944, Time=0.37s
2025-06-11 19:40:14,839 - neuroevo_rank_0 - INFO - Generation 10: Best=49.833, Time=0.37s
2025-06-11 19:40:15,209 - neuroevo_rank_0 - INFO - Generation 11: Best=50.278, Time=0.37s
2025-06-11 19:40:15,690 - neuroevo_rank_0 - INFO - Generation 12: Best=51.389, Time=0.48s
2025-06-11 19:40:16,084 - neuroevo_rank_0 - INFO - Generation 13: Best=50.778, Time=0.39s
2025-06-11 19:40:16,646 - neuroevo_rank_0 - INFO - Generation 14: Best=103.556, Time=0.56s
2025-06-11 19:40:17,442 - neuroevo_rank_0 - INFO - Generation 15: Best=116.278, Time=0.79s
2025-06-11 19:40:18,702 - neuroevo_rank_0 - INFO - Generation 16: Best=112.833, Time=1.26s
2025-06-11 19:40:20,025 - neuroevo_rank_0 - INFO - Generation 17: Best=119.500, Time=1.32s
2025-06-11 19:40:21,666 - neuroevo_rank_0 - INFO - Generation 18: Best=215.889, Time=1.64s
2025-06-11 19:40:23,621 - neuroevo_rank_0 - INFO - Generation 19: Best=248.556, Time=1.95s
2025-06-11 19:40:26,447 - neuroevo_rank_0 - INFO - Generation 20: Best=254.944, Time=2.83s
2025-06-11 19:40:30,031 - neuroevo_rank_0 - INFO - Generation 21: Best=254.944, Time=3.58s
2025-06-11 19:40:33,584 - neuroevo_rank_0 - INFO - Generation 22: Best=255.000, Time=3.55s
2025-06-11 19:40:37,899 - neuroevo_rank_0 - INFO - Generation 23: Best=254.833, Time=4.31s
2025-06-11 19:40:43,294 - neuroevo_rank_0 - INFO - Generation 24: Best=255.000, Time=5.39s
2025-06-11 19:40:48,229 - neuroevo_rank_0 - INFO - Generation 25: Best=254.944, Time=4.93s
2025-06-11 19:40:51,863 - neuroevo_rank_0 - INFO - Starting WANN experiment on rank 0
2025-06-11 19:40:51,949 - neuroevo_rank_0 - INFO - Generation 0: Best=9.611, Time=0.08s
2025-06-11 19:40:52,038 - neuroevo_rank_0 - INFO - Generation 1: Best=9.722, Time=0.09s
2025-06-11 19:40:52,119 - neuroevo_rank_0 - INFO - Generation 2: Best=25.278, Time=0.08s
2025-06-11 19:40:52,238 - neuroevo_rank_0 - INFO - Generation 3: Best=28.389, Time=0.12s
2025-06-11 19:40:52,628 - neuroevo_rank_0 - INFO - Generation 4: Best=103.000, Time=0.39s
2025-06-11 19:40:53,247 - neuroevo_rank_0 - INFO - Generation 5: Best=112.000, Time=0.62s
2025-06-11 19:40:54,322 - neuroevo_rank_0 - INFO - Generation 6: Best=128.889, Time=1.07s
2025-06-11 19:40:55,575 - neuroevo_rank_0 - INFO - Generation 7: Best=119.889, Time=1.25s
